"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"133.91405","-6.9646897","77.1298","f"
"1.5509466","-75.85305","58.187702","f"
"-98.05279","-82.426834","18.328587","f"
"-162.28993","-71.52772","10.17463","f"
"-225.66187","-70.57354","9.60868","f"
"-193.36668","-3.552841","-98.39789","f"
"-86.32257","2.7816517","-108.80564","f"
"8.97067","24.188936","-69.288536","f"
"60.485584","54.912445","-45.409943","f"
"5.804072","99.531","-72.34339","f"
"-124.44401","74.26662","-63.85622","f"
"-171.6574","41.657593","0.5884984","f"
"-115.50393","2.805621","113.124176","f"
"20.315283","-53.8759","167.65327","f"
"203.3524","-10.531922","105.813354","f"
"238.61235","25.378313","33.432583","f"
"174.88899","15.725246","-48.709576","f"
"29.186447","-1.8107413","-26.017822","f"
"-17.519056","21.893875","-26.532843","f"
"-90.41653","23.665014","-53.83356","f"
"-131.24512","-14.351413","-76.901085","f"
"-28.33824","20.713686","-25.712166","f"
"73.58031","28.075583","-0.82495457","f"
"206.16704","77.789795","7.983999","f"
"210.37328","52.33882","72.228355","f"
"95.219734","-28.968042","105.08435","f"
"18.07853","-95.85055","71.40625","f"
"-153.30283","-126.94218","54.199993","f"
"-318.6273","-32.352573","-46.410885","f"
"-276.25842","16.153208","-85.218796","f"
"-215.25633","11.63618","-113.445656","f"
"-93.18012","36.342007","-152.54646","f"
"31.611374","45.2728","-147.39851","f"
"147.81815","14.285398","-99.728874","f"
"269.05078","36.845066","8.2279005","f"
"243.8228","53.860626","105.49286","f"
"79.951324","25.495192","151.5547","f"
"-100.798546","-22.516502","158.01585","f"
"-213.44957","-49.53152","-23.888998","f"
"-126.85467","-49.086018","-149.62268","f"
"65.97964","-41.817204","-83.65815","f"
"135.766","6.8033867","-14.121728","f"
"161.95885","26.421286","50.5654","f"
"178.05379","51.429737","73.22146","f"
"141.05876","65.82496","87.51249","f"
"41.983532","5.0315447","54.364136","f"
"-45.098114","-12.544471","-11.39225","f"
"-57.907986","-18.655005","-23.453497","f"
"-67.2911","-45.597458","-31.888071","f"
"-206.76215","4.4315033","-31.593607","f"
"-82.779465","44.237637","-105.59194","f"
"96.937164","15.259678","-47.49684","f"
"160.96678","25.666834","34.610718","f"
"127.8653","55.568516","56.879333","f"
"64.23348","25.382998","46.218143","f"
"51.35307","-7.477362","108.31274","f"
"6.1322865","-36.869366","69.69839","f"
"-104.9574","-43.76515","34.119076","f"
"-158.5837","-13.1245575","-7.0875497","f"
"-195.42683","9.837333","-79.02273","f"
"-129.20421","-14.287079","-106.77755","f"
"-21.337286","27.489594","-86.65464","f"
"138.67456","58.918125","-3.9968402","f"
"292.84027","42.463184","75.073105","f"
"184.2981","54.117252","89.2396","f"
"64.845634","96.88468","51.233627","f"
"15.226307","124.646576","13.489446","f"
"-83.924484","24.778646","-44.138416","f"
"-131.74146","-36.894016","-40.91445","f"
"-145.98952","-111.309265","-37.347363","f"
"-30.693274","-39.48316","-12.922055","b"
"3.1830027","-1.1064848","-1.9502295","b"
"10.841653","-19.03697","-27.17774","b"
"2.6799839","-4.387293","-1.3937813","b"
"9.867694","2.337811","-0.5351987","c"
"5.8419285","1.18844","-5.297236","c"
"9.181781","2.722541","-2.476488","c"
"-4.6048827","-10.337375","-0.6188335","c"
"-16.305857","-7.3002152","6.616225","c"
"-7.3500104","-3.3734472","2.59933","c"
"6.9663715","-0.5707864","-3.0191314","c"
"-1.3418093","-0.70710963","2.5498617","c"
"0.60655975","0.013112068","-0.8613809","c"
"1.3079724","-1.6208316","-2.717748","c"
"-4.321331","-3.9396362","1.6899313","c"
"-4.1940727","-1.2242008","0.79827714","c"
"0.3989316","-0.044949174","-2.5436318","c"
"1.7861929","-4.7727304","-2.882931","c"
"1.0967907","-1.5752096","-1.7125975","c"
"3.4116583","0.9211109","3.0346997","c"
"8.402955","7.500431","4.0312457","c"
"15.192706","14.338501","-1.5881456","c"
