"fingerlength_1","fingerlength_2","fingerlength_3","fingerlength_4","fingerlength_5","fingerangle_1","fingerangle_2","fingerangle_3","fingerangle_4","fingerdist_12","fingerdist_13","fingerdist_14","fingerdist_15","fingerdist_23","fingerdist_24","fingerdist_25","fingerdist_34","fingerdist_35","fingerdist_45","palmradius","gesture"
"65.084984","54.660812","39.930363","37.280407","37.832237","2.7435267E-4","3.920164E-4","6.120781E-4","6.469722E-4","16.708334","44.970947","59.739876","70.446884","29.107018","43.49421","54.523415","16.478607","31.103842","15.721062","38.906403","a"
"69.73279","75.883255","40.19557","37.319984","37.903458","1.7419955E-4","2.1404513E-4","6.074123E-4","6.448868E-4","29.420694","52.24481","67.90096","79.600746","58.233982","70.57399","78.22893","16.575655","31.23866","15.768798","44.03999","a"
"68.95777","59.585495","40.474094","37.387222","38.048283","2.2537979E-4","3.1715768E-4","6.0309086E-4","6.4113433E-4","26.37173","53.84033","69.228806","80.81559","38.72095","52.00698","61.410862","16.55361","31.301832","15.834333","38.691326","a"
"54.436016","47.520477","39.634052","37.17895","38.0091","3.237522E-4","4.927467E-4","6.1021553E-4","6.4350513E-4","29.809267","39.664192","48.999294","53.880875","18.253988","34.989388","47.77878","17.410942","32.052704","16.026773","31.093689","a"
"54.95264","46.527866","40.388153","38.21259","38.25712","3.0417967E-4","5.0260656E-4","5.903748E-4","6.11358E-4","34.74999","40.110184","49.012566","52.919003","15.695189","32.285637","46.680153","16.70312","32.367386","17.62575","33.55184","a"
"57.86029","53.42504","40.861523","38.119415","38.344498","2.998894E-4","4.0553985E-4","5.8489863E-4","6.163778E-4","21.700108","40.996838","51.326298","56.322014","25.663336","40.740616","51.823605","16.870821","32.04397","17.01864","34.04578","a"
"66.65967","51.52422","40.609077","37.784454","38.433514","2.5518602E-4","4.0902372E-4","5.9610535E-4","6.236432E-4","32.828476","55.899925","70.30738","80.56035","26.879095","40.726006","51.29521","16.427748","31.606562","16.566687","37.638115","a"
"68.69355","53.04078","40.541687","38.2863","38.66985","2.431757E-4","3.9146186E-4","5.9377536E-4","6.137015E-4","32.795696","56.612347","70.71274","82.20285","28.92519","41.625046","52.826565","15.757729","31.322855","16.455555","39.32044","a"
"67.70775","55.82341","40.573605","38.21675","38.606476","2.512225E-4","3.6187455E-4","5.942138E-4","6.159735E-4","22.862257","50.936268","65.00763","76.53963","32.397774","44.864246","55.65867","15.791176","31.32744","16.407936","37.89333","a"
"62.99149","54.547863","40.533726","38.162388","38.62916","2.823428E-4","3.8403305E-4","5.9554586E-4","6.1698694E-4","16.627268","44.79722","58.021503","68.641205","29.387915","42.3219","53.60018","15.789911","31.23146","16.336948","35.202606","a"
"55.93391","45.59088","39.144997","37.639816","38.745514","3.4910752E-4","5.0553674E-4","6.282168E-4","6.266067E-4","25.82084","40.627735","49.867958","56.932453","19.763529","33.582264","46.32379","14.881082","29.86818","15.892381","30.869139","a"
"54.18343","44.130604","39.22455","37.588417","36.16661","3.2765762E-4","5.3391705E-4","6.2902574E-4","6.811453E-4","33.712505","40.688423","47.39256","50.07313","16.924774","31.181803","42.310814","14.719864","27.579058","14.257412","31.539417","a"
"55.61909","43.872787","39.75388","38.296722","37.420357","3.2074557E-4","5.2925706E-4","6.115464E-4","6.425952E-4","34.62092","41.427242","49.26014","53.7763","16.889774","31.140345","43.612213","14.563121","28.416634","15.083569","35.019768","a"
"56.774036","43.56798","39.762012","38.30465","37.48029","3.1594286E-4","5.34405E-4","6.1106135E-4","6.41188E-4","35.43108","42.196762","50.750046","55.77756","16.481699","30.815453","43.47237","14.603236","28.473364","15.127901","33.971832","a"
"57.14535","48.357807","40.502857","38.21884","37.717728","3.1901198E-4","4.6497842E-4","5.98258E-4","6.3715334E-4","27.051641","41.758236","50.97069","55.70161","20.283773","34.53562","45.7867","15.298623","29.213583","15.339302","33.406467","a"
"62.02035","47.107674","39.85235","38.01176","38.35131","2.8483695E-4","4.8765418E-4","6.124928E-4","6.274292E-4","34.683575","52.326004","63.66868","70.25925","19.233269","33.010654","44.445717","14.900118","29.191687","15.776967","35.219776","a"
"62.664684","46.246826","39.358677","37.66497","38.711815","2.9900647E-4","4.956235E-4","6.271931E-4","6.284221E-4","32.297512","51.67313","62.797817","69.87622","20.092188","33.0086","44.002056","14.528185","28.883593","15.659171","38.295288","a"
