"fingerlength_1","fingerlength_2","fingerlength_3","fingerlength_4","fingerlength_5","fingerangle_1","fingerangle_2","fingerangle_3","fingerangle_4","fingerdist_12","fingerdist_13","fingerdist_14","fingerdist_15","fingerdist_23","fingerdist_24","fingerdist_25","fingerdist_34","fingerdist_35","fingerdist_45","palmradius","gesture"
"42.901237","83.09369","91.491806","83.894745","69.70219","1.0302861E-4","1.2920261E-4","1.2777948E-4","1.6663336E-4","78.27203","79.28028","67.10229","55.540443","18.45074","31.917692","45.562733","18.77614","38.734337","22.375769","59.52279","b"
"42.64864","83.79523","92.207275","85.61267","69.449234","7.912219E-5","1.265982E-4","1.245314E-4","1.6191484E-4","82.58024","83.815865","74.2846","54.470306","20.203556","33.009136","51.82494","17.631403","42.747795","26.547636","44.986668","b"
"42.752655","80.30662","88.91816","83.5393","66.82184","1.6888841E-4","1.378435E-4","1.3323E-4","1.757043E-4","65.53879","70.541756","65.08288","49.149315","17.273024","26.38905","39.5972","13.51433","34.00101","22.21597","81.83956","b"
"43.813553","77.68278","87.85191","82.90463","67.00978","2.2549249E-4","1.4346799E-4","1.351125E-4","1.7580904E-4","52.248795","63.838886","61.34011","47.83968","19.711887","30.71728","41.700787","16.016804","35.887203","22.618662","77.97996","b"
"42.837795","81.281784","91.39663","85.779106","72.58466","1.0191362E-4","1.3204556E-4","1.2631119E-4","1.549375E-4","77.269875","82.442825","75.237144","62.215473","19.630037","28.211412","46.283634","13.569287","37.819824","24.777508","67.22242","b"
"41.512913","84.55994","93.24249","86.99383","74.427574","9.8733864E-5","1.2449834E-4","1.2027588E-4","1.4650307E-4","80.252266","86.692055","80.22881","71.16412","19.11205","35.27817","57.847317","20.84605","48.438545","28.703878","103.77405","b"
"40.308044","84.91973","93.41721","86.82449","74.797386","1.14711096E-4","1.2353176E-4","1.1870092E-4","1.4504085E-4","78.409546","87.16075","79.59501","70.61465","19.747227","39.62425","63.425453","25.443592","53.912148","29.981377","68.85742","b"
"39.27058","83.825066","92.475746","86.21582","71.483055","1.3356387E-4","1.2616006E-4","1.223405E-4","1.5615775E-4","75.32685","81.97062","76.317856","64.773964","20.406973","36.563347","55.043617","20.769419","45.192547","26.087618","50.749073","b"
"41.760784","82.34885","91.37825","85.1128","69.92243","1.03609724E-4","1.3084778E-4","1.2640534E-4","1.6345528E-4","77.93996","80.97535","71.59674","54.55218","17.693542","30.013346","46.034115","17.376495","39.49204","23.555262","71.37924","b"
"42.405396","82.60487","91.49207","84.96789","70.67924","9.9268436E-5","1.3024929E-4","1.264383E-4","1.6219696E-4","78.649124","80.8996","70.65042","56.91533","17.748955","30.180983","45.236572","17.554626","38.696533","22.7075","79.778145","b"
"43.30256","79.588905","90.244865","84.367744","66.81189","1.7403657E-4","1.372589E-4","1.2990725E-4","1.7451865E-4","63.837284","73.10522","66.88986","52.135567","17.794935","25.95429","37.716915","14.17019","34.55805","22.174936","91.665985","b"
"41.91797","83.2098","92.74431","86.37613","70.67905","7.334494E-5","1.2748133E-4","1.2335402E-4","1.5940393E-4","83.04427","87.80171","79.75005","65.26235","18.463278","28.353975","44.382988","15.165536","38.007263","23.961124","91.645515","b"
"42.00518","82.445595","92.1862","85.713264","68.88813","1.0814379E-4","1.3000768E-4","1.2487276E-4","1.6534787E-4","77.25088","82.89296","75.18011","58.5188","16.604666","26.765633","42.104233","15.88095","38.126488","23.722538","47.581947","b"
"45.729626","93.960075","103.38564","97.045906","82.076096","5.6789224E-5","1.0063977E-4","9.764613E-5","1.20477765E-4","93.929726","97.85671","88.456764","72.39256","22.880285","39.35126","61.2673","21.155777","49.24353","29.45008","65.398","b"
"47.08313","45.190845","41.199207","39.44563","40.020203","3.8610495E-4","5.1018817E-4","5.66873E-4","5.866359E-4","27.623714","23.315472","22.62808","29.033274","14.232175","29.654694","43.68308","16.095345","30.986923","15.288071","28.737017","c"
"62.251717","58.11104","67.93855","65.7855","56.929882","2.6374595E-4","2.4454424E-4","2.1370225E-4","2.5458337E-4","18.686977","30.632849","48.05845","60.587875","19.218233","33.652325","44.91625","20.14579","38.291157","20.665293","39.7952","c"
"53.480713","77.74575","79.29133","69.37771","59.70247","1.1334065E-4","1.5644649E-4","1.6812401E-4","2.2438611E-4","70.60946","72.65142","62.648277","62.953465","21.000118","47.34972","68.99687","30.413675","54.612057","26.045444","40.9291","c"
"53.150173","77.60363","79.322784","69.51563","59.88257","1.1636891E-4","1.567011E-4","1.6798449E-4","2.2322088E-4","69.912544","72.30112","62.587276","62.78253","20.943998","46.97282","68.73992","30.149916","54.502106","26.11691","40.974297","c"
"52.937737","77.593994","78.81056","69.04815","59.4795","1.1869128E-4","1.574748E-4","1.7116046E-4","2.264626E-4","69.41128","69.61934","60.49042","61.58277","21.309132","46.854527","68.29447","29.014189","53.148346","25.806082","42.45414","c"
"51.994053","77.68837","79.37157","69.772514","59.24211","1.21654404E-4","1.5610889E-4","1.6798472E-4","2.2440459E-4","69.057846","71.131615","61.691166","60.38791","21.54051","46.91927","68.841576","29.397718","54.333767","26.639538","40.493267","c"
"53.011887","77.57382","79.483795","70.477554","60.12933","1.2132577E-4","1.562319E-4","1.6747156E-4","2.1933402E-4","68.734314","71.60782","65.81392","65.34169","21.358116","45.746258","67.696884","27.822672","52.976643","26.546635","42.699383","c"
"52.870728","77.746735","79.77525","70.17506","59.372437","1.20701414E-4","1.553362E-4","1.6608529E-4","2.223789E-4","69.00017","72.82578","64.44644","63.59817","21.39322","46.72025","68.84552","29.636694","54.84612","26.997889","39.63473","c"
"53.179718","77.874794","79.65377","70.23765","59.226532","1.1886529E-4","1.5480928E-4","1.6670162E-4","2.2237348E-4","69.392235","72.3837","64.63752","63.643635","22.268097","47.331078","69.564125","29.02293","54.603397","27.290052","41.72114","c"
"53.85285","77.751434","79.57401","70.19815","59.46962","1.21254845E-4","1.555259E-4","1.6662115E-4","2.2172557E-4","68.51064","72.46889","65.08127","64.757965","21.693132","46.933167","69.190186","29.354792","54.750885","27.130323","40.792397","c"
"54.1494","77.7332","79.67755","69.46847","58.405716","1.2089321E-4","1.5546214E-4","1.6754513E-4","2.277102E-4","68.48925","72.86392","63.91764","63.875515","21.534378","46.907986","69.209595","30.136234","55.43432","27.20117","41.005806","c"
"53.78024","77.80652","79.43335","69.19236","57.056896","1.2200425E-4","1.5544984E-4","1.689154E-4","2.3243792E-4","68.36421","71.99484","63.1438","61.758987","22.087196","47.426235","70.24348","29.867125","56.19283","28.240969","41.33191","c"
"54.140396","77.76912","79.22391","69.379074","58.25183","1.2004584E-4","1.5607872E-4","1.6932555E-4","2.2860634E-4","68.72334","71.44942","63.468136","63.196808","21.793312","47.14585","69.38604","29.305141","54.740887","27.182747","41.53328","c"
"53.4092","77.91767","79.430336","69.177864","57.982674","1.2089385E-4","1.5515584E-4","1.691815E-4","2.3024723E-4","68.82126","71.215935","62.270283","62.027576","22.229422","47.67711","69.84455","29.640202","55.018166","27.177982","41.23004","c"
"52.95979","77.82265","79.49091","69.44578","57.929142","1.1956443E-4","1.5550145E-4","1.680103E-4","2.2911494E-4","69.275795","72.31942","62.642723","60.69386","21.75785","47.336956","69.80388","30.028244","55.783978","27.613562","40.045357","c"
"53.05203","76.26854","78.26227","69.582985","57.176773","1.3984609E-4","1.6119033E-4","1.7321079E-4","2.2990273E-4","63.65815","69.15082","63.565285","59.57161","21.353727","43.60161","66.58951","26.331238","53.595345","28.859144","43.194935","c"
"50.844948","77.070366","78.94745","70.31311","56.443058","1.3769281E-4","1.5827066E-4","1.702234E-4","2.2810875E-4","65.54619","69.000305","61.91575","54.769123","21.302258","43.739258","67.83881","26.193266","55.023865","30.726366","40.68462","c"
"52.753197","77.35748","79.46251","69.554504","57.096615","1.2871507E-4","1.5689772E-4","1.6897173E-4","2.3067842E-4","66.9328","71.50126","62.10268","58.39306","21.010544","44.891197","68.13266","28.788992","55.71608","28.663439","41.052273","c"
"53.390728","77.40954","78.90963","68.65214","54.170387","1.267714E-4","1.5722495E-4","1.7182095E-4","2.4461496E-4","67.17119","70.38113","60.49866","56.129147","22.049948","46.587833","69.737434","29.238401","56.682354","29.687443","42.371246","c"
"49.99949","77.34024","79.35329","67.757965","54.321728","1.3153796E-4","1.5673206E-4","1.7027822E-4","2.4924075E-4","67.435616","71.11215","54.81173","50.13576","21.719866","46.86531","69.14931","32.288445","57.681793","28.08342","39.80774","c"
"48.855843","76.76193","78.17096","67.301384","53.145412","1.538388E-4","1.6066659E-4","1.767594E-4","2.580745E-4","62.864544","63.19242","49.21039","43.77954","20.807758","45.149128","66.60724","29.247026","54.43532","27.399065","43.899693","c"
"48.560402","76.67003","78.5019","68.59739","54.1836","1.601418E-4","1.6041812E-4","1.7375282E-4","2.4784627E-4","61.617676","63.056908","51.03361","44.032436","20.456392","43.902756","65.7421","28.124866","54.155315","28.168634","45.57135","c"
"48.534557","76.55437","78.21213","68.05223","54.010998","1.6487016E-4","1.6137831E-4","1.7630652E-4","2.518686E-4","60.531395","61.81371","50.883198","45.977184","20.172007","43.39919","64.85153","27.55048","52.8553","27.256227","46.292324","c"
"48.07326","76.78007","79.30854","69.52279","54.695435","1.5744954E-4","1.5879943E-4","1.7048734E-4","2.4196667E-4","62.578247","66.50649","57.604584","52.161587","20.212223","43.14777","65.4747","27.516151","54.16192","28.766684","44.656708","c"
"47.750595","77.07634","78.48455","66.33158","52.5741","1.5821455E-4","1.5955164E-4","1.7693554E-4","2.655783E-4","62.726746","63.05464","48.567005","45.500446","20.574379","46.637417","67.43338","31.127459","55.268986","26.53855","41.601242","c"
"58.919502","100.08532","107.167206","98.83255","84.69675","1.287902E-4","9.2345006E-5","8.9815374E-5","1.0871122E-4","67.315605","78.8441","89.044426","99.911545","15.949092","44.113","79.38139","33.18608","72.55181","41.310707","72.45826","d"
"51.08046","88.74813","43.64789","39.197353","36.97425","1.6309798E-4","1.18878306E-4","5.475797E-4","6.2569045E-4","61.496887","34.287075","32.47391","28.444197","78.82739","86.58793","87.0278","15.359422","30.109133","16.585096","35.464233","d"
"54.044857","62.637917","38.55063","35.339226","38.093487","2.8637476E-4","3.5663028E-4","6.583102E-4","6.815873E-4","16.753054","38.01888","47.889576","53.81966","35.365097","47.428314","55.555336","17.069563","31.175371","15.151772","33.063793","d"
"51.71889","93.25185","44.634624","37.861137","38.28705","1.3577037E-4","1.8279685E-5","5.234579E-4","6.3153787E-4","71.09614","31.462528","46.668446","53.14354","100.27356","108.23554","106.560555","20.878473","34.06913","15.660273","54.831516","d"
"52.584354","84.937294","40.52412","38.640705","43.377853","2.143267E-4","1.775695E-4","5.687313E-4","5.438544E-4","37.795128","31.080265","45.77315","44.181843","68.18405","81.067276","74.22997","18.608349","28.46965","17.856218","40.03551","d"
"52.14063","89.8327","39.993465","37.93687","39.58029","1.8454921E-4","7.175501E-5","6.063548E-4","6.1828864E-4","51.873142","37.104847","46.958504","49.830032","88.41389","95.66184","93.6713","15.717926","28.211658","14.756174","45.79804","d"
"52.440266","41.25515","37.49278","36.196632","37.395176","3.478121E-4","5.7663495E-4","6.8269565E-4","6.6317717E-4","34.585342","40.47223","47.578835","50.089287","18.668154","32.3828","45.34812","14.184146","29.081879","16.687693","30.079126","d"
"56.335514","38.756157","36.82882","35.349354","36.770313","3.3337763E-4","6.669094E-4","7.0871285E-4","6.8524294E-4","38.694984","48.281685","57.00843","61.45019","11.874346","25.365896","38.630543","14.267953","29.62926","16.917448","34.88974","d"
"53.47479","90.273","39.042866","36.41959","39.45118","1.5976506E-4","4.023657E-5","6.260246E-4","6.397281E-4","59.68854","38.201904","52.779293","55.954643","93.133804","101.97329","97.630585","17.867561","29.008923","15.5401325","54.707455","d"
"51.816277","91.60921","42.19302","37.886","39.45815","1.6544231E-4","3.917274E-5","5.651184E-4","6.2257354E-4","60.17885","35.630123","46.45953","49.984173","94.87883","102.38932","101.06585","18.097704","30.452152","14.48065","46.314003","d"
"51.72457","79.48549","39.914265","38.142937","40.320957","1.9017202E-4","1.078512E-4","5.923712E-4","5.371477E-4","50.639256","36.31957","39.848087","27.754297","75.7625","85.55236","75.4561","17.37763","32.882153","23.229525","35.384544","d"
"53.57949","76.087494","41.067646","38.13375","39.31382","2.045766E-4","1.1399888E-4","5.739503E-4","5.8901263E-4","43.128372","36.431606","42.151833","38.20965","72.45479","81.62936","77.36668","18.040112","32.44354","18.763998","35.322964","d"
"51.31731","91.87132","41.78142","38.551018","39.69771","1.5687142E-4","8.927575E-5","5.6879735E-4","5.863526E-4","64.03229","32.94695","35.117916","31.563528","86.92074","95.44998","92.98087","16.747665","31.454462","17.76272","38.258457","d"
"48.334286","85.11481","37.68904","32.97041","33.85824","1.6092736E-4","1.257708E-5","7.4046967E-4","8.283491E-4","64.29184","30.515013","38.649364","45.215225","91.68502","95.43409","96.429405","14.858505","27.39268","12.99616","37.4478","d"
"47.4536","86.191414","40.51741","34.133472","34.486134","1.5235948E-4","2.6145855E-5","6.594751E-4","7.779674E-4","67.699356","26.368116","35.948296","42.211914","91.83071","97.38215","97.89057","16.852694","29.857845","14.086313","40.95636","d"
"47.09599","85.93559","39.048386","32.94611","34.64057","1.6737147E-4","3.400758E-5","6.888921E-4","8.0329867E-4","64.186195","28.075325","38.858505","44.093075","90.24316","97.32968","97.73006","18.163242","30.480103","13.885934","40.38862","d"
"48.302536","86.10397","40.119728","32.89699","34.70952","1.6138837E-4","3.5897043E-5","6.826965E-4","7.906289E-4","64.527214","27.819183","39.242077","45.94252","90.37003","97.12748","98.188805","17.703062","31.067068","15.01085","40.64051","d"
"46.806965","83.15247","41.108643","36.93773","35.12003","1.8330516E-4","1.2936576E-4","6.170686E-4","7.024238E-4","59.595367","26.41943","26.382744","26.545424","74.7065","82.01582","83.32191","14.4478655","28.327845","15.285247","32.82088","d"
"45.878017","82.46046","38.038464","35.588432","35.170204","1.7853385E-4","1.4468687E-4","6.871874E-4","7.2689715E-4","61.596764","28.940264","26.224798","23.706203","73.48192","80.84707","82.672806","13.957263","27.630783","15.03052","33.48768","d"
"49.55478","84.037254","37.98382","33.877853","35.964725","1.6628113E-4","6.430949E-5","6.8884384E-4","7.6116197E-4","61.240788","27.002554","40.97919","48.38359","84.82042","92.7412","93.478676","17.583885","29.606644","13.46307","44.546688","d"
"48.02343","81.19347","36.53812","33.130383","35.385654","2.1840542E-4","1.0363455E-4","7.434134E-4","7.88773E-4","47.513153","31.25613","40.081642","45.21099","78.12315","85.170204","86.67289","15.934715","28.404192","13.476511","38.17986","d"
"49.875805","85.28368","39.85008","34.021465","35.332222","1.5661928E-4","3.4925393E-5","6.574394E-4","7.6012523E-4","63.98017","28.604746","41.646275","48.993607","89.74711","97.21053","98.24749","18.128334","31.180086","14.462535","44.184776","d"
"47.91835","80.944595","37.94305","33.49584","35.173515","2.229481E-4","1.280876E-4","7.056954E-4","7.79412E-4","46.258884","28.936241","39.064102","44.353153","74.66763","83.79637","85.92676","16.788788","29.361425","13.97788","35.832127","d"
"51.35976","85.27182","40.43609","34.50754","35.75228","1.5754026E-4","4.5027427E-5","6.4253615E-4","7.416209E-4","62.17513","30.062115","44.158127","52.663437","88.519424","95.89189","97.13605","17.994713","31.229567","14.539374","46.29147","d"
"51.08994","85.601685","44.15826","35.707092","36.60363","1.4832942E-4","6.0671024E-5","5.72613E-4","6.992074E-4","65.297676","23.93211","39.603645","48.576286","86.855034","95.18041","96.35463","19.434721","32.52026","15.031559","42.878326","d"
"50.14792","85.925804","42.98799","35.74379","36.01104","1.3575496E-4","2.0737589E-5","5.8309693E-4","7.1603066E-4","69.69076","27.561308","42.735996","51.264668","93.08772","99.43372","99.33031","19.292624","32.037003","14.204265","49.358223","e"
"53.51415","43.077446","42.425797","37.941143","37.172283","4.0888024E-4","5.234338E-4","5.742195E-4","6.532918E-4","19.331203","23.275122","36.096973","47.130726","12.60828","27.715837","41.249702","16.241344","30.584461","14.911986","28.9691","e"
"47.409855","41.33035","37.518784","34.77964","37.348476","4.1987002E-4","6.16551E-4","7.1237603E-4","7.022595E-4","27.050043","23.701971","27.141462","31.393656","12.279606","25.948746","39.87717","13.831269","28.221272","15.318856","27.26632","e"
"49.764214","40.877388","38.265198","34.85971","36.628517","4.3573978E-4","6.097332E-4","6.9298246E-4","7.129565E-4","23.263098","23.908524","32.451523","40.521175","12.311076","26.465612","40.464382","14.606221","29.042534","15.23423","28.69607","e"
"50.476982","42.79198","41.869877","36.961708","36.76699","4.2136072E-4","5.359368E-4","5.9973466E-4","6.7077257E-4","21.148087","20.743666","31.470968","41.911873","11.972593","26.484112","40.96197","15.700725","30.59898","15.505218","29.073631","e"
"49.02341","41.105892","38.924248","35.264816","36.831535","4.3359867E-4","5.970987E-4","6.770163E-4","6.990064E-4","23.904913","22.99355","30.892773","39.120857","12.148456","25.96679","40.464268","14.403316","29.218256","15.546036","28.6572","e"
"51.79031","41.497265","40.450016","36.158432","36.746597","4.2454203E-4","5.6961906E-4","6.3281035E-4","6.874278E-4","21.964705","26.447899","38.39829","48.820484","12.179148","26.544039","40.63595","15.368404","29.917984","15.182781","30.383234","e"
"47.72336","41.77676","38.690636","34.627357","36.163986","4.2681367E-4","5.919033E-4","6.8365835E-4","7.2513294E-4","25.093662","22.988424","30.635202","37.01765","12.222549","27.28131","41.141167","15.548795","29.664106","15.252348","28.070831","e"
"49.668644","41.28176","39.14422","34.861862","36.226574","4.3228763E-4","5.911754E-4","6.7627046E-4","7.1660784E-4","23.158802","24.535341","34.611237","43.31481","12.207255","26.59022","40.92433","15.128085","29.761133","15.54868","29.197191","e"
"48.613514","41.319195","38.98177","34.72294","36.06148","4.2753638E-4","5.934314E-4","6.787146E-4","7.2339753E-4","24.91056","23.292562","31.820494","39.329475","12.154386","26.86569","41.09242","15.436176","29.88134","15.416679","28.0544","e"
"47.77012","41.31473","38.126892","34.15122","36.269882","4.2628095E-4","6.0704036E-4","7.050598E-4","7.321876E-4","25.846619","22.958525","30.25305","36.737335","12.1702175","26.799301","41.010826","15.140414","29.419827","15.331283","27.525736","e"
"49.580402","41.01477","39.007374","34.399967","36.175194","4.3732804E-4","5.9668726E-4","6.894304E-4","7.2439836E-4","22.880459","23.986078","34.146362","43.487","12.21523","26.240845","41.00426","14.906396","29.838446","15.76082","29.151922","e"
"53.786606","47.24312","47.810787","41.79889","38.494328","3.8378013E-4","4.2950717E-4","4.7102268E-4","5.7210296E-4","12.993694","17.175413","31.596252","45.565643","11.627948","26.328392","41.235477","16.453615","32.36624","16.330133","29.821457","e"
