"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"-0.9319819","-0.42992398","0.6888028","f"
"-2.089604","1.2947446","1.6100286","f"
"0.5178881","-0.6794542","0.80552095","f"
"-1.1497097","-2.0662935","-0.53197044","f"
"-1.061508","-1.1891454","0.860672","f"
"-1.2151909","-1.4346566","0.16546606","f"
"-1.7099185","-1.5307373","2.4297307","f"
"-0.58365184","-0.69541687","0.47695604","f"
"3.2277815","-2.326098","-2.9773078","f"
"0.46475986","-2.6112165","2.542196","f"
"-3.320851","1.2440184","1.5940987","f"
"1.2700441","-0.078529365","0.44435424","f"
"-1.3405756","1.8862053","0.17424469","f"
"1.0089682","6.2296352","2.0685236","g"
"-0.95068806","-1.1671026","0.8243515","g"
"1.7562329","4.032256","1.5606872","g"
"1.3632734","-0.754242","-1.3996816","g"
"0.5780709","-0.38507265","0.30571017","g"
"2.3755412","0.9838832","0.978754","g"
"-4.0386734","-1.0421445","2.1073492","g"
"-0.7689012","1.0389607","1.3877316","g"
"-0.12716101","0.4004553","0.57233506","g"
"0.49154153","1.1609504","0.69635195","g"
"1.3648536","1.1720437","0.12944143","g"
"1.1780465","3.0158334","0.9748362","g"
"0.8694998","0.36803138","0.8510076","g"
"1.0349501","1.752303","2.1471777","g"
"2.2498977","3.1097617","1.4570435","g"
"0.6027888","1.4992268","1.7389821","g"
"4.19738","6.3997183","3.4515731","g"
"3.76073","4.1221585","2.9296691","g"
"2.0924726","3.8387172","1.90313","g"
"1.0618159","-1.6342847","0.7714117","g"
"1.3958999","2.1698518","1.024226","g"
"0.13316624","0.38169438","1.2487739","g"
"0.855166","2.2290719","2.3300285","g"
"-0.34625423","-1.0436362","0.7135211","g"
"1.5443321","0.9286624","0.5295129","g"
"4.7136164","4.5958633","0.67222524","h"
"0.8364517","-0.9307815","-0.86430097","h"
"1.0125201","0.52527374","-0.69116277","h"
"0.22390686","-1.0148906","0.08384929","h"
"-2.386772","-2.8032773","0.14617647","h"
"-0.9709125","-0.10081846","0.21745017","h"
"-0.47000846","-0.40887845","0.2304261","h"
"-2.6095207","-1.6907388","0.69446576","h"
"0.02753154","1.5430619","0.9924592","h"
"-0.29009095","-0.17156033","0.12504007","h"
"-0.0052851913","0.091389015","0.6990831","h"
"-4.0049357","-2.1310284","1.0446217","h"
"0.8192313","1.743784","0.5713387","h"
"-1.5037638","-0.7417594","0.6926691","h"
"1.384781","1.799519","0.49187037","h"
"-1.0692812","-1.9117854","-0.23599575","h"
"3.7644734","-0.23250714","-0.08240063","h"
"0.346237","4.132765","2.8858645","h"
"-1.5381325","0.62336165","1.1169422","h"
"-0.839738","2.7871757","1.5902276","h"
"0.86815125","4.918487","3.5897293","h"
"1.9107267","2.6743677","1.1473633","h"
"2.0259566","2.0445886","2.0493398","h"
"1.4847257","0.25083047","-0.27491242","h"
"3.1396875","2.697929","0.5251014","h"
"-3.1191258","-1.7812228","-3.6227164","i"
"1.7992122","8.055971","5.04614","i"
"0.18940407","2.0506797","1.4899131","i"
"-0.17203875","-0.29113883","0.422082","i"
"-0.7243948","0.59098786","1.3700101","i"
"-0.2822096","-1.8846391","-0.72173434","i"
"2.2209208","0.27093068","1.3116833","i"
"-1.0084513","-1.9934647","1.5832204","i"
"0.43636185","-0.41428944","-0.30284804","i"
"2.440575","0.107410826","-0.3397843","i"
"0.14546444","-0.09002598","-0.17167006","i"
"-1.7085178","-1.5634071","-0.29288253","i"
"1.7568355","-0.77927995","0.24455643","i"
"2.0830603","5.3865733","0.85482746","i"
"-0.5411417","0.6948074","0.59276587","i"
"-1.8897072","-2.7517538","0.892665","i"
"-3.203453","-4.0040684","0.2154007","i"
"-1.0453526","0.22524968","1.5326555","i"
"3.5082562","0.7086631","-1.0925812","i"
"2.5739934","0.054512616","-1.4798733","i"
"-1.1487194","0.2849441","2.2235386","i"
"0.83370245","1.625532","2.137575","i"
"-0.4610434","-0.5801409","-1.1867567","i"
"1.0885146","-0.22786795","0.19102232","i"
